Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Fire-3rd Alarm,1490 Ocean Avenue,Brooklyn,41857.84759,41858.03201,40.62602339,-73.95647818
Fire-2nd Alarm,67 morningstar road,Staten Island,41857.74056,41857.8589,,
Law Enforcement-Haz Mat,524 Riverside Drive,Manhattan,41856.69405,41856.7308,40.81427599,-73.96163683
Fire-2nd Alarm,114-18 Liberty Avenue,Queens,41856.56359,41856.69076,40.68568562,-73.82789677
Law Enforcement-Other,110-00 Rockaway Blvd,Queens,41853.49145,41853.55877,40.67806754,-73.83101419
Fire-2nd Alarm,1540 Van Siclen Avenue,Brooklyn,41848.23713,41848.47038,40.64760484,-73.87721996
Law Enforcement-Suspicious Package,725 5th Avenue,New York City,41846.75551,41847.54559,40.76246067,-73.97424936
Fire-1st Alarm,2315 surf ave,Brooklyn,41845.72027,41845.89909,40.57382483,-73.99040188
Fire-2nd Alarm,1112 rutland road,Brooklyn,41839.8408,41839.9398,40.66480121,-73.92305582
Fire-2nd Alarm,684 Riverside Drive,New York City,41836.79387,41836.83516,40.82745178,-73.95151059
Law Enforcement-Haz Mat,494 Gateway Drive,Brooklyn,41836.49738,41836.68992,40.65174199,-73.86945406
Law Enforcement-Suspicious Package,66-20 Wetherole Street,Queens,41836.40201,41836.4574,40.72540346,-73.85659322
Fire-Other,666 west end avenue,Manhattan,41824.62575,41836.26612,40.79285787,-73.97491533
Fire-Nursing Home,140 Friendship Lane,Staten Island,41835.54716,41835.64416,,
Fire-2nd Alarm,693 Flatbush Ave,Brooklyn,41834.62714,41834.77987,40.65627237,-73.95998551
Fire-2nd Alarm,2846 Briggs Avenue,Bronx,41834.02703,41834.22362,40.86916184,-73.8889394
Fire-Haz Mat,208 Clinton B Fiske Avenue,Staten Island,41831.56406,41831.75506,40.61818669,-74.13345736
Law Enforcement-Device,67-11 Parsons Blvd,Queens,41830.55166,41830.57433,40.73432322,-73.81060275
Fire-4th Alarm,21 West 39th Street,New York City,41829.70122,41829.97586,40.75218821,-73.98367039
Fire-3rd Alarm,764 57th Street,Brooklyn,41828.62118,41829.10596,40.63751296,-74.00838748
Fire-2nd Alarm,1358 East 93rd Street,Brooklyn,41826.64703,41826.76295,40.63784636,-73.89958107
Fire-2nd Alarm,585 Nostrand Ave,Brooklyn,41825.65293,41826.36896,40.67718848,-73.94976404
Fire-10-76 (Commercial High Rise Fire),730 5th Avenue,New York City,41825.82111,41825.96484,40.76274848,-73.97415761
Fire-Other,392 Asser Levy Place,Manhattan,41824.37697,41824.50355,40.73690678,-73.97555605
Fire-2nd Alarm,104-28 117 Street,Queens,41823.87623,41824.01146,40.68514915,-73.82560148
Law Enforcement-Suspicious Package,1610 Taylor Avenue,Bronx,41823.64539,41823.70898,40.84102531,-73.86757976
Fire-2nd Alarm,5511 Fieldston RD,Bronx,41823.0075,41823.15595,40.90433283,-73.90033781
Law Enforcement-Suspicious Package,West 34 th Street  & 6th Avenue,Manhattan,41822.47958,41822.5414,40.749786,-73.987794
Law Enforcement-Other,2954 West 8th Street,Brooklyn,41821.45038,41821.52638,40.57599083,-73.97668716
Fire-2nd Alarm,1666 East 49th Street,Brooklyn,41821.0661,41821.19463,40.62012037,-73.9280559
Fire-10-77 (Residential High Rise Fire),4 East 28th Street,Manhattan,41820.80738,41820.83778,40.74436578,-73.98664352
Fire-10-76 (Commercial High Rise Fire),11 West 42nd Street,Manhattan,41820.38519,41820.43936,40.75397409,-73.98199112
Fire-10-77 (Residential High Rise Fire),4 east 28th street,New York City,41819.71238,41819.88191,40.74436578,-73.98664352
Fire-Collapse,02 Aberdeen Street,Brooklyn,41812.46303,41819.29066,40.68137729,-73.90656176
Fire-2nd Alarm,2290 Andrews Avenue,Bronx,41815.49333,41815.57001,40.86103789,-73.90767717
Fire-1st Alarm,199 Schenectady Avenue,Brooklyn,41812.93405,41812.99685,40.67212215,-73.93354694
